# Метеостанция Шереметьево / им. А. С. Пушкина (аэропорт), Россия, METAR=UUEE, выборка с 01.01.2024 по 31.12.2024, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UUEE&lang=ru
#
"Местное время в Шереметьево / им. А. С. Пушкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"06.11.2024 17:20";"0.0";"743.6";"761.2";"100";"Ветер, дующий с западо-юго-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 90 м, разорванная (60-90%) 990 м, кучево-дождевые облака";"5.0";"0.0";
"06.11.2024 17:02";"0.0";"743.6";"761.2";"100";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 90 м, разорванная (60-90%) 990 м, кучево-дождевые облака";"2.9";"0.0";
"06.11.2024 17:00";"0.0";"743.6";"761.2";"100";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 90 м, разорванная (60-90%) 990 м, кучево-дождевые облака";"3.0";"0.0";
"06.11.2024 16:55";"0.0";"743.6";"761.2";"100";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 60 м, разорванная (60-90%) 990 м, кучево-дождевые облака";"2.8";"0.0";
"06.11.2024 16:30";"0.0";"743.6";"761.2";"100";"Ветер, дующий с западо-юго-запада";"5";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 90 м";"3.3";"0.0";
"06.11.2024 16:25";"0.0";"743.6";"761.2";"100";"Ветер, дующий с западо-юго-запада";"5";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 120 м";"4.5";"0.0";
"06.11.2024 16:00";"0.0";"744.4";"762.0";"100";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 90 м";"10.0 и более";"0.0";
"06.11.2024 15:43";"0.0";"743.6";"761.2";"100";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 120 м";"7.0";"0.0";
"06.11.2024 15:30";"0.0";"744.4";"762.0";"93";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"Снег";"Сплошная (100%) 120 м";"4.4";"-1.0";
"06.11.2024 15:19";"0.0";"744.4";"762.0";"93";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 90 м";"3.3";"-1.0";
"06.11.2024 15:00";"0.0";"744.4";"762.0";"93";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 120 м";"2.7";"-1.0";
"06.11.2024 14:38";"0.0";"744.4";"762.0";"93";"Ветер, дующий с юго-запада";"4";"";"Снег";"";"Разорванная (60-90%) 120 м, сплошная (100%) 990 м";"2.0";"-1.0";
"06.11.2024 14:30";"0.0";"744.4";"762.0";"93";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"Снег";"Разорванная (60-90%) 90 м, сплошная (100%) 990 м";"2.2";"-1.0";
"06.11.2024 14:11";"0.0";"744.4";"762.0";"93";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 120 м, сплошная (100%) 990 м";"2.1";"-1.0";
"06.11.2024 14:00";"0.0";"744.4";"762.0";"93";"Ветер, дующий с юго-запада";"3";"";"Снег";"";"Рассеянная (40-50%) 120 м, сплошная (100%) 990 м";"1.7";"-1.0";
"06.11.2024 13:38";"0.0";"745.2";"762.8";"93";"Ветер, дующий с юго-запада";"3";"";"Снег";"";"Рассеянная (40-50%) 90 м, сплошная (100%) 990 м";"1.3";"-1.0";
"06.11.2024 13:31";"0.0";"745.2";"762.8";"93";"Ветер, дующий с юго-запада";"3";"";"Снег";"";"Рассеянная (40-50%) 90 м, сплошная (100%) 990 м";"1.8";"-1.0";
"06.11.2024 13:30";"0.0";"745.2";"762.8";"93";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 90 м, сплошная (100%) 990 м";"2.1";"-1.0";
"06.11.2024 13:08";"0.0";"745.2";"762.8";"93";"Ветер, дующий с западо-юго-запада";"4";"";"Снег";"";"Рассеянная (40-50%) 120 м, сплошная (100%) 930 м";"1.4";"-1.0";
"06.11.2024 13:00";"0.0";"745.2";"762.8";"93";"Ветер, дующий с западо-юго-запада";"4";"";"Снег";"";"Рассеянная (40-50%) 120 м, сплошная (100%) 930 м";"1.8";"-1.0";
"06.11.2024 12:30";"-1.0";"745.1";"762.8";"100";"Ветер, дующий с западо-юго-запада";"4";"";"Снег";"Снег";"Рассеянная (40-50%) 120 м, сплошная (100%) 900 м";"2.0";"-1.0";
"06.11.2024 12:25";"-1.0";"745.1";"762.8";"100";"Ветер, дующий с западо-юго-запада";"4";"";"Снег";"";"Рассеянная (40-50%) 120 м, сплошная (100%) 900 м";"1.8";"-1.0";
"06.11.2024 12:14";"-1.0";"745.1";"762.8";"93";"Ветер, дующий с западо-юго-запада";"5";"";"Сильный(ая)(ые) снег";"";"Рассеянная (40-50%) 150 м, сплошная (100%) 900 м";"1.2";"-2.0";
"06.11.2024 12:13";"-1.0";"745.1";"762.8";"93";"Ветер, дующий с западо-юго-запада";"5";"";"Снег";"";"Рассеянная (40-50%) 150 м, сплошная (100%) 900 м";"1.2";"-2.0";
"06.11.2024 12:10";"-1.0";"745.1";"762.8";"93";"Ветер, дующий с западо-юго-запада";"5";"";"Снег";"";"Рассеянная (40-50%) 150 м, сплошная (100%) 900 м";"2.2";"-2.0";
"06.11.2024 12:00";"-1.0";"745.1";"762.8";"93";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"Ливень (ливни), снег";"Рассеянная (40-50%) 150 м, сплошная (100%) 900 м";"2.8";"-2.0";
"06.11.2024 11:44";"-1.0";"745.1";"762.8";"93";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 180 м, разорванная (60-90%) 900 м, кучево-дождевые облака";"2.8";"-2.0";
"06.11.2024 11:30";"-1.0";"745.1";"762.8";"93";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 240 м, разорванная (60-90%) 900 м, кучево-дождевые облака";"4.4";"-2.0";
"06.11.2024 11:20";"0.0";"745.2";"762.8";"87";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 270 м, разорванная (60-90%) 660 м, кучево-дождевые облака";"4.9";"-2.0";
"06.11.2024 11:00";"0.0";"745.9";"763.5";"87";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-2.0";
"06.11.2024 10:30";"-1.0";"745.8";"763.5";"86";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-3.0";
"06.11.2024 10:00";"-1.0";"745.1";"762.8";"86";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-3.0";
"06.11.2024 09:30";"-1.0";"745.1";"762.8";"86";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-3.0";
"06.11.2024 09:00";"-1.0";"745.8";"763.5";"86";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"-3.0";
"06.11.2024 08:30";"-1.0";"745.1";"762.8";"86";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"-3.0";
"06.11.2024 08:00";"-1.0";"745.1";"762.8";"86";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"-3.0";
"06.11.2024 07:30";"-1.0";"745.1";"762.8";"80";"Переменное направление";"1";"";"";"";"Рассеянная (40-50%) 510 м";"10.0 и более";"-4.0";
"06.11.2024 07:00";"-1.0";"745.1";"762.8";"80";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 420 м";"10.0 и более";"-4.0";
"06.11.2024 06:30";"-1.0";"745.1";"762.8";"86";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 450 м";"10.0 и более";"-3.0";
"06.11.2024 06:00";"-1.0";"745.1";"762.8";"86";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 480 м";"10.0 и более";"-3.0";
"06.11.2024 05:30";"-2.0";"745.0";"762.8";"93";"Ветер, дующий с запада";"2";"";"";"";"Рассеянная (40-50%) 450 м";"10.0 и более";"-3.0";
"06.11.2024 05:00";"-2.0";"745.0";"762.8";"93";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 450 м";"10.0 и более";"-3.0";
"06.11.2024 04:30";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с запада";"2";"";"";"";"Рассеянная (40-50%) 450 м";"10.0 и более";"-3.0";
"06.11.2024 04:00";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Рассеянная (40-50%) 450 м";"10.0 и более";"-3.0";
"06.11.2024 03:30";"-1.0";"744.3";"762.0";"86";"Переменное направление";"1";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-3.0";
"06.11.2024 03:00";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"-3.0";
"06.11.2024 02:30";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-3.0";
"06.11.2024 02:00";"-2.0";"744.3";"762.0";"93";"Ветер, дующий с запада";"3";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-3.0";
"06.11.2024 01:30";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с запада";"3";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-3.0";
"06.11.2024 01:00";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с запада";"2";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-3.0";
"06.11.2024 00:30";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с запада";"3";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"-3.0";
"06.11.2024 00:00";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-3.0";
"05.11.2024 23:30";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-3.0";
"05.11.2024 23:00";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"-3.0";
"05.11.2024 22:30";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-3.0";
"05.11.2024 22:00";"-1.0";"744.3";"762.0";"86";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 690 м";"10.0 и более";"-3.0";
"05.11.2024 21:30";"-1.0";"744.3";"762.0";"80";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"-4.0";
"05.11.2024 21:00";"0.0";"744.4";"762.0";"80";"Ветер, дующий с запада";"3";"8";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"-3.0";
"05.11.2024 20:30";"0.0";"744.4";"762.0";"80";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 690 м";"10.0 и более";"-3.0";
"05.11.2024 20:00";"-1.0";"744.3";"762.0";"80";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"-4.0";
"05.11.2024 19:30";"-1.0";"744.3";"762.0";"80";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"-4.0";
"05.11.2024 19:00";"-1.0";"744.3";"762.0";"80";"Ветер, дующий с запада";"3";"10";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"-4.0";
"05.11.2024 18:30";"-1.0";"744.3";"762.0";"80";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"-4.0";
"05.11.2024 18:00";"-1.0";"744.3";"762.0";"80";"Ветер, дующий с запада";"3";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"-4.0";
"05.11.2024 17:30";"-1.0";"744.3";"762.0";"75";"Ветер, дующий с запада";"3";"8";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"-5.0";
"05.11.2024 17:00";"-1.0";"744.3";"762.0";"75";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"-5.0";
"05.11.2024 16:30";"-1.0";"744.3";"762.0";"75";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"-5.0";
"05.11.2024 16:00";"-1.0";"744.3";"762.0";"75";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"-5.0";
"05.11.2024 15:30";"-1.0";"744.3";"762.0";"75";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 690 м";"10.0 и более";"-5.0";
"05.11.2024 15:00";"-1.0";"744.3";"762.0";"75";"Ветер, дующий с западо-северо-запада";"5";"10";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"-5.0";
"05.11.2024 14:30";"-1.0";"744.3";"762.0";"75";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 510 м";"10.0 и более";"-5.0";
"05.11.2024 14:00";"-1.0";"744.3";"762.0";"75";"Ветер, дующий с западо-северо-запада";"6";"11";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-5.0";
"05.11.2024 13:30";"-1.0";"744.3";"762.0";"80";"Ветер, дующий с западо-северо-запада";"6";"11";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-4.0";
"05.11.2024 13:00";"-1.0";"744.3";"762.0";"75";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"-5.0";
"05.11.2024 12:30";"-1.0";"744.3";"762.0";"80";"Ветер, дующий с западо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"-4.0";
"05.11.2024 12:00";"0.0";"744.4";"762.0";"69";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-5.0";
"05.11.2024 11:30";"-1.0";"744.3";"762.0";"80";"Ветер, дующий с запада";"5";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-4.0";
"05.11.2024 11:00";"-1.0";"744.3";"762.0";"80";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 540 м, кучево-дождевые облака";"10.0 и более";"-4.0";
"05.11.2024 10:30";"-1.0";"744.3";"762.0";"80";"Ветер, дующий с западо-северо-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Разорванная (60-90%) 450 м, кучево-дождевые облака";"10.0 и более";"-4.0";
"05.11.2024 10:00";"-1.0";"743.5";"761.2";"80";"Ветер, дующий с запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Разорванная (60-90%) 510 м, кучево-дождевые облака";"10.0 и более";"-4.0";
"05.11.2024 09:30";"-1.0";"743.5";"761.2";"75";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Сплошная (100%) 1050 м";"10.0 и более";"-5.0";
"05.11.2024 09:00";"-1.0";"743.5";"761.2";"75";"Ветер, дующий с запада";"6";"";"";"";"Сплошная (100%) 1050 м";"10.0 и более";"-5.0";
"05.11.2024 08:30";"-1.0";"743.5";"761.2";"75";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Сплошная (100%) 660 м";"10.0 и более";"-5.0";
"05.11.2024 08:00";"-1.0";"743.5";"761.2";"75";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Сплошная (100%) 1020 м";"10.0 и более";"-5.0";
"05.11.2024 07:30";"-1.0";"743.5";"761.2";"80";"Ветер, дующий с западо-северо-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1110 м";"10.0 и более";"-4.0";
"05.11.2024 07:00";"-1.0";"742.9";"760.5";"80";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 810 м";"10.0 и более";"-4.0";
"05.11.2024 06:30";"-1.0";"742.9";"760.5";"80";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 540 м";"10.0 и более";"-4.0";
"05.11.2024 06:00";"-1.0";"742.9";"760.5";"80";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"-4.0";
"05.11.2024 05:30";"-1.0";"742.9";"760.5";"80";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 1020 м";"10.0 и более";"-4.0";
"05.11.2024 05:00";"-1.0";"742.9";"760.5";"80";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Сплошная (100%) 1050 м";"10.0 и более";"-4.0";
"05.11.2024 04:30";"-1.0";"742.9";"760.5";"80";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Сплошная (100%) 1140 м";"10.0 и более";"-4.0";
"05.11.2024 04:00";"-1.0";"742.9";"760.5";"80";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Сплошная (100%) 570 м";"10.0 и более";"-4.0";
"05.11.2024 03:30";"-1.0";"742.9";"760.5";"86";"Ветер, дующий с запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1110 м";"10.0 и более";"-3.0";
"05.11.2024 03:00";"-1.0";"742.9";"760.5";"86";"Ветер, дующий с западо-северо-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 510 м";"10.0 и более";"-3.0";
"05.11.2024 02:30";"-1.0";"742.9";"760.5";"86";"Ветер, дующий с западо-северо-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 510 м";"10.0 и более";"-3.0";
"05.11.2024 02:00";"-1.0";"742.9";"760.5";"86";"Ветер, дующий с западо-северо-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 930 м";"10.0 и более";"-3.0";
"05.11.2024 01:30";"-1.0";"742.9";"760.5";"86";"Ветер, дующий с западо-северо-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 930 м";"10.0 и более";"-3.0";
"05.11.2024 01:00";"-1.0";"742.9";"760.5";"86";"Ветер, дующий с западо-северо-запада";"6";"";"Слабый(ая)(ые) ливень (ливни), снег";"Снег";"Разорванная (60-90%) 450 м, кучево-дождевые облака";"9.0";"-3.0";
"05.11.2024 00:36";"-1.0";"742.9";"760.5";"86";"Ветер, дующий с западо-северо-запада";"6";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Разорванная (60-90%) 390 м, кучево-дождевые облака";"9.0";"-3.0";
"05.11.2024 00:30";"-1.0";"742.9";"760.5";"86";"Ветер, дующий с западо-северо-запада";"6";"11";"Слабый(ая)(ые) ливень (ливни), снег";"Ливень (ливни), снег";"Рассеянная (40-50%) 240 м, разорванная (60-90%) 840 м, кучево-дождевые облака";"8.0";"-3.0";
"05.11.2024 00:00";"-1.0";"742.9";"760.5";"86";"Ветер, дующий с западо-северо-запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"Ливень (ливни), снег";"Рассеянная (40-50%) 180 м, разорванная (60-90%) 540 м, кучево-дождевые облака";"8.0";"-3.0";
"04.11.2024 23:45";"-1.0";"742.9";"760.5";"86";"Ветер, дующий с запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 180 м, разорванная (60-90%) 540 м, кучево-дождевые облака";"3.5";"-3.0";
"04.11.2024 23:31";"-2.0";"742.8";"760.5";"93";"Ветер, дующий с запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"";"Рассеянная (40-50%) 240 м, разорванная (60-90%) 540 м, кучево-дождевые облака";"2.6";"-3.0";
"04.11.2024 23:30";"-2.0";"742.8";"760.5";"93";"Ветер, дующий с запада";"5";"";"Слабый(ая)(ые) ливень (ливни), снег";"Ливень (ливни), снег";"Рассеянная (40-50%) 240 м, разорванная (60-90%) 540 м, кучево-дождевые облака";"3.2";"-3.0";
"04.11.2024 23:28";"-2.0";"742.8";"760.5";"93";"Ветер, дующий с западо-северо-запада";"4";"";"Ливень (ливни), снег";"";"Рассеянная (40-50%) 210 м, разорванная (60-90%) 540 м, кучево-дождевые облака";"4.7";"-3.0";
"04.11.2024 23:12";"-2.0";"742.8";"760.5";"86";"Ветер, дующий с запада";"4";"";"Ливень (ливни), снег";"";"Разорванная (60-90%) 450 м, кучево-дождевые облака";"1.9";"-4.0";
"04.11.2024 23:01";"-2.0";"742.8";"760.5";"86";"Ветер, дующий с запада";"4";"9";"Слабый(ая)(ые) ливень (ливни), снег";"";"Разорванная (60-90%) 150 м, кучево-дождевые облака";"2.9";"-4.0";
"04.11.2024 23:00";"-2.0";"742.8";"760.5";"86";"Ветер, дующий с запада";"4";"9";"Слабый(ая)(ые) ливень (ливни), снег";"Снег";"Разорванная (60-90%) 300 м, кучево-дождевые облака";"3.7";"-4.0";
"04.11.2024 22:57";"-2.0";"742.8";"760.5";"86";"Ветер, дующий с запада";"4";"9";"Слабый(ая)(ые) ливень (ливни), снег";"";"Разорванная (60-90%) 300 м, кучево-дождевые облака";"4.8";"-4.0";
"04.11.2024 22:30";"-2.0";"742.8";"760.5";"86";"Ветер, дующий с западо-северо-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 360 м";"10.0 и более";"-4.0";
"04.11.2024 22:00";"-2.0";"742.8";"760.5";"80";"Ветер, дующий с западо-северо-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 480 м";"10.0 и более";"-5.0";
"04.11.2024 21:30";"-2.0";"742.8";"760.5";"80";"Ветер, дующий с северо-запада";"5";"10";"";"";"Сплошная (100%) 690 м";"10.0 и более";"-5.0";
"04.11.2024 21:00";"-2.0";"742.8";"760.5";"80";"Ветер, дующий с западо-северо-запада";"6";"";"";"";"Сплошная (100%) 720 м";"10.0 и более";"-5.0";
"04.11.2024 20:30";"-1.0";"742.9";"760.5";"80";"Ветер, дующий с северо-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 480 м";"10.0 и более";"-4.0";
"04.11.2024 20:00";"-1.0";"742.1";"759.7";"75";"Ветер, дующий с северо-запада";"6";"11";"";"";"Разорванная (60-90%) 1020 м";"10.0 и более";"-5.0";
"04.11.2024 19:30";"-1.0";"742.1";"759.7";"80";"Ветер, дующий с северо-запада";"5";"";"";"";"Разорванная (60-90%) 630 м";"10.0 и более";"-4.0";
"04.11.2024 19:00";"-1.0";"742.1";"759.7";"75";"Ветер, дующий с северо-запада";"4";"";"";"";"Разорванная (60-90%) 780 м";"10.0 и более";"-5.0";
"04.11.2024 18:30";"-1.0";"742.1";"759.7";"75";"Ветер, дующий с северо-северо-запада";"6";"13";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-5.0";
"04.11.2024 18:00";"-1.0";"741.4";"759.0";"80";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 960 м";"10.0 и более";"-4.0";
"04.11.2024 17:30";"-1.0";"741.4";"759.0";"80";"Ветер, дующий с северо-запада";"6";"";"";"";"Разорванная (60-90%) 1170 м";"10.0 и более";"-4.0";
"04.11.2024 17:00";"-1.0";"740.6";"758.2";"80";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 1110 м";"10.0 и более";"-4.0";
"04.11.2024 16:30";"-1.0";"740.6";"758.2";"80";"Ветер, дующий с севера";"5";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-4.0";
"04.11.2024 16:00";"-1.0";"740.1";"757.7";"86";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"-3.0";
"04.11.2024 15:30";"-1.0";"739.3";"756.9";"80";"Ветер, дующий с севера";"7";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-4.0";
"04.11.2024 15:29";"-1.0";"739.3";"756.9";"80";"Ветер, дующий с севера";"7";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-4.0";
"04.11.2024 15:03";"-1.0";"739.3";"756.9";"80";"Ветер, дующий с севера";"6";"11";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-4.0";
"04.11.2024 15:00";"-1.0";"739.3";"756.9";"80";"Ветер, дующий с севера";"6";"11";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-4.0";
"04.11.2024 14:30";"-1.0";"738.7";"756.2";"80";"Ветер, дующий с севера";"8";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-4.0";
"04.11.2024 14:00";"-1.0";"737.9";"755.4";"86";"Ветер, дующий с севера";"5";"11";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 300 м";"10.0 и более";"-3.0";
"04.11.2024 13:30";"-1.0";"737.9";"755.4";"86";"Ветер, дующий с севера";"8";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 330 м";"10.0 и более";"-3.0";
"04.11.2024 13:00";"-1.0";"737.1";"754.6";"86";"Ветер, дующий с севера";"5";"10";"Слабый(ая)(ые) снег";"Снег";"Разорванная (60-90%) 300 м";"9.0";"-3.0";
"04.11.2024 12:30";"-1.0";"736.4";"753.9";"86";"Ветер, дующий с севера";"6";"";"Слабый(ая)(ые) снег";"Снег";"Разорванная (60-90%) 300 м";"10.0 и более";"-3.0";
"04.11.2024 12:13";"-1.0";"736.4";"753.9";"93";"Ветер, дующий с севера";"7";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 240 м";"7.0";"-2.0";
"04.11.2024 12:00";"-1.0";"735.6";"753.1";"86";"Ветер, дующий с севера";"8";"";"Снег";"Снег";"Разорванная (60-90%) 270 м";"8.0";"-3.0";
"04.11.2024 11:56";"-1.0";"735.6";"753.1";"93";"Ветер, дующий с севера";"7";"";"Снег";"";"Разорванная (60-90%) 240 м";"8.0";"-2.0";
"04.11.2024 11:30";"-1.0";"735.6";"753.1";"86";"Ветер, дующий с севера";"7";"";"Слабый(ая)(ые) снег";"Снег";"Разорванная (60-90%) 210 м";"8.0";"-3.0";
"04.11.2024 11:00";"-1.0";"734.8";"752.3";"93";"Ветер, дующий с севера";"5";"";"Слабый(ая)(ые) снег";"Снег";"Разорванная (60-90%) 210 м";"9.0";"-2.0";
"04.11.2024 10:30";"-1.0";"734.2";"751.6";"93";"Ветер, дующий с севера";"5";"10";"Слабый(ая)(ые) снег";"Снег";"Разорванная (60-90%) 210 м";"7.0";"-2.0";
"04.11.2024 10:18";"-1.0";"734.2";"751.6";"93";"Ветер, дующий с севера";"6";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 240 м, сплошная (100%) 900 м";"6.0";"-2.0";
